asset,sma_fast,sma_slow,combo,gross_return,net_return,hold_return,outperform,trades,max_dd
XRP,20,100,20/100,-5.216413940286091,-6.3164139402860915,-10.079894667612288,3.763480727326197,11,-17.522313964897528
AVAX,5,20,5/20,-2.3699720059985108,-7.1699720059985115,-17.362163789802665,10.192191783804153,48,-19.90198654115488
BTC,5,20,5/20,-2.9429719790065256,-7.842971979006526,-9.803672186560586,1.9607002075540603,49,-17.510829301858802
DOGE,5,20,5/20,-2.9641950160707364,-8.164195016070737,-11.802588770682599,3.6383937546118617,52,-26.894762410404834
LINK,8,21,8/21,-7.915481861702823,-12.715481861702823,-18.704116266204153,5.9886344045013296,48,-24.58822308073024
AVAX,20,100,20/100,-15.478456695706399,-16.378456695706397,-17.362163789802665,0.9837070940962676,9,-24.874993262047035
ADA,5,20,5/20,-12.34123927254892,-17.141239272548923,-12.137987129958105,-5.003252142590817,48,-31.33864094013163
ADA,20,100,20/100,-20.493486231505877,-21.793486231505877,-12.137987129958105,-9.655499101547772,13,-31.487714012416255
AVAX,8,21,8/21,-17.878745027952768,-22.47874502795277,-17.362163789802665,-5.116581238150104,46,-29.09309547446157
LINK,5,20,5/20,-22.64917547938393,-28.049175479383933,-18.704116266204153,-9.34505921317978,54,-32.74501707404005
